id,datetime,version,starttime,endtime,OS,Browser,age,usedTabs
1,"06-21-2017 20.25.46",A,1498069546.8842,1498069663.5502,"Windows 10",Chrome,22,FALSE
2,"06-21-2017 20.25.50",A,1498069550.1269,1498069689.5946,"Windows 10",Chrome,22,FALSE
3,"06-21-2017 20.31.52",A,1498069912.5518,1498069982.3715,"Windows 10",Chrome,21,TRUE
4,"06-21-2017 20.33.31",A,1498070011.2883,1498070081.8363,"Windows 10",Chrome,21,TRUE
5,"06-21-2017 20.33.34",A,1498070014.7455,1498070163.1045,"Windows 10",Chrome,21,TRUE
6,"06-21-2017 20.35.43",A,1498070143.8571,1498070229.8611,"Windows 10",Chrome,22,TRUE
7,"06-21-2017 20.36.34",A,1498070194.459,1498070379.6698,"Windows 10",Edge,18,FALSE
8,"06-21-2017 20.44.16",A,1498070656.8145,1498070767.2731,"Windows 10",Firefox,23,TRUE
9,"06-21-2017 20.47.28",A,1498070848.0434,1498070983.5227,"Windows 10",Chrome,21,TRUE
10,"06-21-2017 20.49.32",A,1498070972.5118,1498071023.0792,"Windows XP",Firefox,21,TRUE
11,"06-21-2017 20.49.43",A,1498070983.9343,1498071057.8663,"Windows 7",Chrome,21,FALSE
12,"06-21-2017 20.57.39",A,1498071459.3283,1498071503.7743,"Windows XP",Firefox,21,TRUE
13,"06-21-2017 21.00.24",A,1498071624.8836,1498071721.6963,"Windows XP",Firefox,23,TRUE
14,"06-21-2017 21.01.38",A,1498071698.765,1498071857.6084,"Windows 10",Chrome,19,FALSE
15,"06-21-2017 20.58.29",A,1498071509.1993,1498071994.4522,"Windows 8.1",Firefox,25,TRUE
16,"06-21-2017 21.12.04",A,1498072324.3524,1498072394.0012,"Windows 10",Chrome,22,TRUE
17,"06-21-2017 21.15.05",A,1498072505.4395,1498072659.515,"Windows 7",Firefox,21,FALSE
