id,datetime,version,starttime,time1,time2,endtime,OS,Browser,age,usedTabs
1,"06-21-2017 21.41.42",B,1498074102.3617,1498074125.2411,1498074157.4304,1498074174.2926,"Windows 10",Firefox,22,TRUE
2,"06-21-2017 22.35.24",B,1498077324.2574,1498077354.878,1498077388.3457,1498077426.6671,"Windows 10",Chrome,21,TRUE
3,"06-21-2017 22.41.13",B,1498077673.9223,1498077715.7215,1498077741.6328,1498077770.1782,"Windows 10",Chrome,20,FALSE
4,"06-21-2017 22.49.17",B,1498078157.1774,1498078190.4595,1498078210.8262,1498078234.4122,"Windows 10",Chrome,22,TRUE
5,"06-21-2017 23.13.50",B,1498079630.2522,1498079721.1675,1498079741.8358,1498079764.9853,"Windows 10",Firefox,20,TRUE
6,"06-21-2017 23.29.38",B,1498080578.1238,1498080601.6244,1498080615.5263,1498080638.7464,"Windows 8.1",Firefox,18,TRUE
7,"06-22-2017 00.37.36",B,1498084656.534,1498084755.9139,1498084770.5071,1498084786.2612,"Windows 10",Chrome,22,TRUE
8,"06-22-2017 02.02.25",B,1498089745.0274,1498089793.9071,1498089843.4291,1498089875.0422,"Windows 10",Edge,21,TRUE
9,"06-22-2017 15.14.59",B,1498137299.5567,1498137423.696,1498137468.2711,1498137505.0764,"Windows 10",Chrome,24,TRUE
10,"06-22-2017 15.24.56",B,1498137896.446,1498137955.1824,1498138020.4523,1498138084.4916,"Windows 7",Chrome,21,FALSE
11,"06-22-2017 15.49.55",B,1498139395.5634,1498139578.2939,1498139599.6511,1498139628.238,"Windows 7",Firefox,23,TRUE
12,"06-22-2017 16.03.03",B,1498140183.8505,1498140356.706,1498140390.8883,1498140436.4846,"Windows 10",Firefox,22,FALSE
13,"06-22-2017 16.37.05",B,1498142225.037,1498142252.565,1498142285.4436,1498142314.835,Linux,Chrome,26,TRUE
14,"06-22-2017 16.36.05",B,1498142165.2752,1498142259.3031,1498142294.7751,1498142329.3579,"Windows 8.1",Chrome,23,FALSE
15,"06-22-2017 17.09.20",B,1498144160.4794,1498144196.9621,1498144236.3674,1498144273.7222,"Windows 8.1",Chrome,26,TRUE
16,"06-22-2017 20.14.22",B,1498155262.4714,1498155286.0735,1498155330.4331,1498155356.5248,"Windows 8.1",Chrome,21,TRUE
17,"06-22-2017 20.33.00",B,1498156380.3965,1498156427.6991,1498156468.6326,1498156496.8923,"Windows 7",Chrome,23,TRUE
18,"06-22-2017 20.42.25",B,1498156945.1142,1498157029.906,1498157064.7519,1498157093.8205,"Mac OS X",Firefox,23,FALSE
19,"06-22-2017 20.56.44",B,1498157804.6846,1498157919.5577,1498158062.4316,1498158112.3634,"Windows 10",Chrome,23,FALSE
